"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 20 06:16:59 GMT 2023","Mon Mar 20 06:16:59 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","loginAndGetDataForTests","loginAndGetDataForTests",""
"skipped","Mon Mar 20 06:16:59 GMT 2023","Mon Mar 20 06:16:59 GMT 2023","1","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003","User is able to add a book into his collection from Book Store",""
"broken","Mon Mar 20 06:16:59 GMT 2023","Mon Mar 20 06:16:59 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","deleteTestBookFromCollectionAndReopenBookStore","deleteTestBookFromCollectionAndReopenBookStore",""
"passed","Mon Mar 20 06:16:44 GMT 2023","Mon Mar 20 06:16:45 GMT 2023","651","Surefire suite","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001","User is able to delete a book from his collection by DELETE /Book api",""
"broken","Mon Mar 20 06:16:59 GMT 2023","Mon Mar 20 06:16:59 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","reopenBookStorePage","reopenBookStorePage",""
"broken","Mon Mar 20 06:16:59 GMT 2023","Mon Mar 20 06:16:59 GMT 2023","1","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","initBaseSteps","initBaseSteps",""
"skipped","Mon Mar 20 06:16:59 GMT 2023","Mon Mar 20 06:16:59 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","demo_002","User can open and view book's details in the Book Store",""
"broken","Mon Mar 20 06:16:59 GMT 2023","Mon Mar 20 06:16:59 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","initBaseSteps","initBaseSteps",""
"skipped","Mon Mar 20 06:16:59 GMT 2023","Mon Mar 20 06:16:59 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","demo_001","User can see all available books in the Book Store",""
"broken","Mon Mar 20 06:16:59 GMT 2023","Mon Mar 20 06:16:59 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","checkConsoleErrors","checkConsoleErrors",""
"broken","Mon Mar 20 06:16:59 GMT 2023","Mon Mar 20 06:16:59 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","getDataForTests","getDataForTests",""
"broken","Mon Mar 20 06:16:59 GMT 2023","Mon Mar 20 06:16:59 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","checkConsoleErrors","checkConsoleErrors",""
